disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,id,hash,lastRefresh
2494,2003-08-21T00:00:00.000Z,MT-FLATHEAD FIRE ZONE-8/20/03,2003-08-21T00:00:00.000Z,2003-09-10T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,2003-08-26T00:00:00.000Z,2006-12-26T00:00:00.000Z,2006-12-08T00:00:00.000Z,8,0,0,1,0,a623a8f3-245b-400f-9406-1df658aab0f2,5ee3ff77d78c8685a717ace4a54fa36d6da83bd6,2023-09-28T23:41:26.075Z
2493,2003-08-20T00:00:00.000Z,OR-BOOTH FIRE-8-19-2003,2003-08-20T00:00:00.000Z,2003-10-22T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2003-08-27T00:00:00.000Z,2005-03-16T00:00:00.000Z,2005-03-02T00:00:00.000Z,10,0,0,1,0,0c2a9b15-19b9-4ce3-9939-8596e218629a,cb8dac561462069f2f4cb843ce4d2fa0947d3103,2023-09-28T23:41:26.075Z
2492,2003-08-20T00:00:00.000Z,MT-LINCOLN FIRE COMPLEX - 08/14/2003,2003-08-14T00:00:00.000Z,2003-09-12T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,2003-08-21T00:00:00.000Z,2006-10-13T00:00:00.000Z,2006-09-26T00:00:00.000Z,8,0,0,1,0,23e692da-1f8e-421f-b021-0d6df0dbbe8a,d98c1d614b98e89de3400bfebf6647d69b0e50a4,2023-09-28T23:41:26.075Z
2491,2003-08-19T00:00:00.000Z,CA-LOCUST  WILDFIRE-08-19-2003,2003-08-18T00:00:00.000Z,2003-08-21T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2003-08-21T00:00:00.000Z,2009-08-31T00:00:00.000Z,2009-08-26T00:00:00.000Z,9,0,0,1,0,291d7103-d325-4bfd-929e-ba1a338e7ea2,5540c426e7210ea4c408731b3649dcd260dd4d54,2023-09-28T23:41:26.075Z
2490,2003-08-12T00:00:00.000Z,MT-MISSOULA/MINERAL FIRE ZONE-08/08/03,2003-08-12T00:00:00.000Z,2003-09-17T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,2003-08-15T00:00:00.000Z,2006-10-13T00:00:00.000Z,2006-09-26T00:00:00.000Z,8,0,0,1,0,5e28b724-dce1-460b-87be-ae5c56346870,7569578ef55191df11244b0199940121afb174a8,2023-09-28T23:41:26.075Z
2489,2003-08-12T00:00:00.000Z,MT-CHERRY CREEK FIRE -08/06/03,2003-08-10T00:00:00.000Z,2003-08-24T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,2003-08-15T00:00:00.000Z,2006-07-07T00:00:00.000Z,2006-06-27T00:00:00.000Z,8,0,0,1,0,d2e09416-6c19-4406-b3b5-d4f0a6ab8c78,3f719b89808cf5da98b996724370dcfc6bfe1029,2023-09-28T23:41:26.075Z
2488,2003-08-11T00:00:00.000Z,MT-HOBBLE FIRE-08/07/2003,2003-08-10T00:00:00.000Z,2003-09-09T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,2003-08-15T00:00:00.000Z,2006-07-31T00:00:00.000Z,2006-07-24T00:00:00.000Z,8,0,0,1,0,a585dcd5-0180-4a47-be38-19f46db2e31f,0d38f3838c7cff57b54cb285695d96e78443dc95,2023-09-28T23:41:26.075Z
1484,2003-08-01T00:00:00.000Z,"TORNADOES, FLOODING, SEVERE STORMS, AND HIGH WINDS",2003-07-21T00:00:00.000Z,2003-08-25T00:00:00.000Z,Major Disaster,OH,Ohio                          ,Tornado,2003-07-30T00:00:00.000Z,2015-11-19T00:00:00.000Z,2012-07-18T00:00:00.000Z,5,1,1,1,1,809faef8-4c39-4191-b631-e951bffae19a,8b1b50e9807d752deb5cd938b308f64bd290fff3,2023-09-28T23:41:26.075Z
1483,2003-08-01T00:00:00.000Z,SEVERE STORMS AND HIGH WINDS,2003-06-24T00:00:00.000Z,2003-06-25T00:00:00.000Z,Major Disaster,ND,North Dakota                  ,Severe Storm,2003-07-25T00:00:00.000Z,2010-08-23T00:00:00.000Z,2010-08-16T00:00:00.000Z,8,0,0,1,1,1004ac20-2705-4530-a5c6-9bb14a19cd03,e479ab9e511ca863b85cac14b232f92b10b5061f,2023-09-28T23:41:26.075Z
1481,2003-07-29T00:00:00.000Z,SEVERE STORMS AND FLOODING,2003-06-13T00:00:00.000Z,2003-08-22T00:00:00.000Z,Major Disaster,FL,Florida                       ,Severe Storm,2003-07-22T00:00:00.000Z,2016-01-12T00:00:00.000Z,2016-01-12T00:00:00.000Z,4,0,0,1,1,f16ea2e9-baa8-4e42-850a-dbcb921c4100,0554ff891e9deb7023d1745a86ea27d5d6722b9f,2023-09-28T23:41:26.075Z
1482,2003-07-29T00:00:00.000Z,"SEVERE STORMS, HIGH WINDS, AND HEAVY RAIN",2003-07-21T00:00:00.000Z,2003-07-22T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Severe Storm,2003-07-28T00:00:00.000Z,2014-01-24T00:00:00.000Z,2012-04-23T00:00:00.000Z,4,1,1,1,1,ad04cca9-0210-4000-b71c-65eee424c6d3,0aa10fc6ef6fcaf926eda42c0de0666d0418710a,2023-09-28T23:41:26.075Z
2487,2003-07-25T00:00:00.000Z,CANYON FIRE,2003-07-25T00:00:00.000Z,2003-08-01T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2003-07-28T00:00:00.000Z,2008-09-29T00:00:00.000Z,2008-09-15T00:00:00.000Z,9,0,0,1,0,7aa59fb0-4903-4cdf-a8f1-31a25ba3310e,990535feebc727c38cd61aade3b8a3cb7f748334,2023-09-28T23:41:26.075Z
2486,2003-07-25T00:00:00.000Z,CO-CLOUDY PASS FIRE-07/25/2003,2003-07-25T00:00:00.000Z,2003-07-27T00:00:00.000Z,Fire Management,CO,Colorado                      ,Fire,2003-07-29T00:00:00.000Z,2009-02-13T00:00:00.000Z,2009-02-05T00:00:00.000Z,8,0,0,1,0,86fdb2b1-13ee-4795-923c-6f4d7f8d5220,3aadcbc83fefba6533a256b111004bf39acdaac6,2023-09-28T23:41:26.075Z
