id,declarationTitle,incidentType,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate
2f2c24f7-886d-4cff-895f-885ca0f90592,PINE GULCH FIRE,Fire,CO,FM,2020-08-19,2020-08-19,2020-09-02
b40d29c5-1870-447e-bc91-54b7c6084a86,GRIZZLY CREEK FIRE,Fire,CO,FM,2020-08-19,2020-08-13,2020-08-26
3b6b9721-c1dd-4392-9c9a-39bbfe848cef,GRIZZLY CREEK FIRE,Fire,CO,FM,2020-08-19,2020-08-13,2020-08-26
38cebe42-4e50-470f-b471-992314d03cfb,CARMEL FIRE,Fire,CA,FM,2020-08-19,2020-08-18,NA
396d66d4-bd55-4e29-a220-0f65632993dd,JONES FIRE,Fire,CA,FM,2020-08-18,2020-08-18,NA
e63e6aa5-851b-4458-960c-114a2f33e6b0,LNU LIGHTNING FIRE COMPLEX,Fire,CA,FM,2020-08-18,2020-08-17,NA
3e71ce9e-0453-4d14-96da-a79d54d7129f,LNU LIGHTNING FIRE COMPLEX,Fire,CA,FM,2020-08-18,2020-08-17,NA
2c9c9d00-79a0-484f-9c2f-6e3144fbd669,LNU LIGHTNING FIRE COMPLEX,Fire,CA,FM,2020-08-18,2020-08-17,NA
e297da79-0bfe-4fd7-91a3-8871bdd3b8b6,LNU LIGHTNING FIRE COMPLEX,Fire,CA,FM,2020-08-18,2020-08-17,NA
3564113e-c261-4c2a-aa03-0f57c435b557,LNU LIGHTNING FIRE COMPLEX,Fire,CA,FM,2020-08-18,2020-08-17,NA
99d27f81-7b35-4495-b6f8-b4dff7a424ba,NORTH BROWNSTOWN FIRE,Fire,WA,FM,2020-08-17,2020-08-16,2020-08-17
2c9942a4-133a-449a-b6c0-9b527bdb9a43,NORTH BROWNSTOWN FIRE,Fire,WA,FM,2020-08-17,2020-08-16,2020-08-17
d82f4d8e-4688-4f0a-852d-e947ec2c48b8,RIVER FIRE,Fire,CA,FM,2020-08-17,2020-08-16,NA
2e9d1b5d-7757-4ead-b4ca-86aadb0bd4be,LOYALTON FIRE,Fire,NV,FM,2020-08-15,2020-08-15,2020-08-26
b461627d-1cfb-41c7-8d6d-83a0687d2083,MOSIER CREEK FIRE,Fire,OR,FM,2020-08-13,2020-08-12,2020-08-19
77740579-f406-49fc-9817-0d627cd220ce,NORTH FIRE,Fire,NV,FM,2020-08-03,2020-08-02,2020-08-06
a32157f6-b723-4c4d-b18b-d6f84de2d565,APPLE FIRE,Fire,CA,FM,2020-08-02,2020-08-02,2020-08-11
88d42a69-1023-43e9-9c9c-88feaaed2544,APPLE FIRE,Fire,CA,FM,2020-08-02,2020-08-02,2020-08-11
f774af2a-055e-43bd-b576-0a2029e9a60e,APPLE FIRE,Fire,CA,FM,2020-08-02,2020-08-02,2020-08-11
60c064e2-6589-4dc4-939d-b818c7953c1a,FALLING STAR FIRE,Fire,MT,FM,2020-08-02,2020-08-02,2020-08-04
53cd5b76-81bc-4ed3-864b-8be82c64274b,FALLING STAR FIRE,Fire,MT,FM,2020-08-02,2020-08-02,2020-08-04
3425a7bf-9bfc-4c43-9945-e35281fcd042,ANGLIN FIRE,Fire,WA,FM,2020-07-28,2020-07-27,2020-08-01
2bc395aa-af85-42fe-9a48-00ccffaeb8e0,ROCKFARM FIRE,Fire,NV,FM,2020-07-21,2020-07-21,2020-07-23
cc26a4b6-600e-40e6-b63d-a01684d63c0c,VEYO WEST FIRE,Fire,UT,FM,2020-07-13,2020-07-13,2020-07-15
cc75b759-c4fa-416e-80fb-5469f468aa22,ROAD 11 FIRE,Fire,WA,FM,2020-07-12,2020-07-11,2020-07-15
8d3bdfd3-8f6a-4283-bf6e-22537d630c79,NUMBERS FIRE,Fire,NV,FM,2020-07-07,2020-07-06,2020-07-11
7ede1f48-5086-42c2-802e-e52e842c6531,KNOLLS FIRE,Fire,UT,FM,2020-06-28,2020-06-28,2020-06-30
89e6a620-faea-4f8f-82b2-cb128b0b9b43,CANAL FIRE,Fire,UT,FM,2020-06-28,2020-06-28,2020-07-05
cca2e2b4-0e58-4cba-a003-31ede5458b52,POEVILLE ROAD FIRE,Fire,NV,FM,2020-06-27,2020-06-27,2020-07-04
3a59e659-95f0-4956-8ab4-637cef26b8f8,AVONDALE FIRE,Fire,AZ,FM,2020-06-27,2020-06-27,NA
09ada2e8-6a9f-45cf-b19d-1c4aa352253c,AQUILA FIRE,Fire,AZ,FM,2020-06-23,2020-06-23,NA
f4cbca7d-ad35-4c64-b8cc-ef6f0dab346a,BUSH FIRE,Fire,AZ,FM,2020-06-20,2020-06-20,NA
